acceptedTaxonID,taxonRank,scientificName,organism_aggr,phylum,subphylum,class,order,family,subfamily,tribe,genus,species,taxa.notes,tolerance,FFG,FFG2
AEOSP2,genus,Aeolosoma sp.,segmentedWorms,Annelida,NA,Clitellata,Aeolosomatida,Aeolosomatidae,NA,NA,Aeolosoma,NA,NA,8,cf,NA
BRASP9,family,Branchiobdellidae sp.,leeches,Annelida,NA,Clitellata,Branchiobdellida,Branchiobdellidae,NA,NA,NA,NA,NA,6,cg,NA
ENCSP1,family,Enchytraeidae sp.,segmentedWorms,Annelida,NA,Clitellata,Enchytraeida,Enchytraeidae,NA,NA,NA,NA,NA,10,cg,NA
HAPSP4,genus,Haplotaxis sp.,segmentedWorms,Annelida,NA,Clitellata,Haplotaxida,Haplotaxidae,NA,NA,Haplotaxis,NA,NA,5,prd,NA
ERPSP3,genus,Erpobdella sp.,leeches,Annelida,NA,Clitellata,Hirudina,Erpobdellidae,Erpobdellinae,NA,Erpobdella,NA,NA,8,prd,NA
GLOCOM,species,Glossiphonia complanata,leeches,Annelida,NA,Clitellata,Hirudina,Glossiphoniidae,Glossiphoniinae,NA,Glossiphonia,NA,NA,8,prd,NA
PLASP16,genus,Placobdella sp.,leeches,Annelida,NA,Clitellata,Hirudina,Glossiphoniidae,Glossiphoniinae,NA,Placobdella,NA,NA,8,prd,NA
ACTSP5,genus,Actinobdella sp.,leeches,Annelida,NA,Clitellata,Hirudina,Glossiphoniidae,Haementeriinae,NA,Actinobdella,NA,NA,8,prd,NA
GLOELO,species,Gloiobdella elongata,leeches,Annelida,NA,Clitellata,Hirudina,Glossiphoniidae,Haementeriinae,NA,Gloiobdella,elongata,NA,8,prd,NA
HELSP19,genus,Helobdella sp.,leeches,Annelida,NA,Clitellata,Hirudina,Glossiphoniidae,Haementeriinae,NA,Helobdella,NA,NA,8,prd,NA
HELSTA,species,Helobdella stagnalis,leeches,Annelida,NA,Clitellata,Hirudina,Glossiphoniidae,Haementeriinae,NA,Helobdella,NA,NA,6,prd,NA
GLOSP,family,Glossiphoniidae sp.,leeches,Annelida,NA,Clitellata,Hirudina,Glossiphoniidae,NA,NA,NA,NA,NA,8,prd,NA
ECLLAC,species,Eclipidrilus lacustris,segmentedWorms,Annelida,NA,Clitellata,Lumbriculida,Lumbriculidae,NA,NA,Eclipidrilus,lacustris,NA,5,cg,NA
LUMVAR,species,Lumbriculus variegatus,segmentedWorms,Annelida,NA,Clitellata,Lumbriculida,Lumbriculidae,NA,NA,Lumbriculus,variegatus,NA,5,cg,NA
LUMSP2,family,Lumbriculidae sp.,segmentedWorms,Annelida,NA,Clitellata,Lumbriculida,Lumbriculidae,NA,NA,NA,NA,NA,5,cg,NA
RHYSP7,genus,Rhynchelmis sp.,segmentedWorms,Annelida,NA,Clitellata,Lumbriculida,Lumbriculidae,NA,NA,Rhynchelmis,NA,NA,5,cg,NA
STYHER,species,Stylodrilus heringianus,segmentedWorms,Annelida,NA,Clitellata,Lumbriculida,Lumbriculidae,NA,NA,Stylodrilus,heringianus,NA,5,cg,NA
LUMSP1,suborder,Lumbricina sp.,segmentedWorms,Annelida,NA,Clitellata,Opisthopora,segmentedWorms,NA,NA,NA,NA,suborder Lumbricina is technically Crassiclitellata now,6,cg,NA
OLISP,subclass,segmentedWorms,segmentedWorms,Annelida,NA,Clitellata,segmentedWorms,segmentedWorms,NA,NA,NA,NA,Oligocheata is no longer a valid subclass because it is paraphyletic. The subclass is now Tubificata,7,cg,NA
TUBSP,order,Tubificida sp.,segmentedWorms,Annelida,NA,Clitellata,Tubificida,NA,NA,NA,NA,NA,NA,10,cg,NA
ISOSP11,species,Isochaetides sp.,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,NA,NA,Isochaetides,freyi,NA,8,cg,NA
NAISP,family,Naididae sp.,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,NA,NA,NA,NA,NA,8,cg,NA
OPHSER,species,Ophidonais serpentina,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,NA,NA,Ophidonais,serpentina,NA,6,cg,NA
POTVEJ,species,Potamothrix vejdovskyi,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,NA,NA,Potamothrix,vejdovskyi,NA,8,cg,NA
AMPAME,species,Amphichaeta americana,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Amphichaeta,americana,NA,6,cg,NA
AMPLEY,species,Amphichaeta leydigi,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Amphichaeta,leydigi,NA,6,cg,NA
BRADAD,species,Bratislavia dadayi,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Bratislavia,NA,NA,8,cg,NA
CHADIA,species,Chaetogaster diaphanus,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Chaetogaster,NA,NA,7,prd,NA
CHADIA1,species,Chaetogaster diastrophus,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Chaetogaster,NA,NA,7,prd,NA
DERDIG,species,Dero digitata,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Dero,NA,NA,10,cg,NA
DERFUR,species,Dero furcata,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Dero,NA,NA,10,cg,NA
DERSP4,genus,Dero sp.,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Dero,NA,NA,10,cg,NA
NAIALP,species,Nais alpina,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Nais,NA,NA,8,cg,NA
NAIBEH,species,Nais behningi,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Nais,NA,NA,6,cg,NA
NAIBRE,species,Nais bretscheri,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Nais,NA,NA,6,cg,NA
NAICOM,speciesGroup,Nais communis/variabilis,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Nais,NA,NA,9,cg,NA
PIGSP,genus,Piguetiella sp.,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Piguetiella,NA,NA,6,cg,NA
SLAAPP,species,Slavina appendiculata,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Slavina,NA,NA,6,cg,NA
SPEJOS,species,Specaria josinae,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Specaria,NA,NA,6,cg,NA
STYLAC,species,Stylaria lacustris,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Stylaria,lacustris,NA,6,cg,NA
UNCUNC,species,Uncinais uncinata,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Uncinais,NA,NA,7,cg,NA
VEJINT,species,Vejdovskyella intermedia,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Vejdovskyella,NA,NA,6,cg,NA
PRIJEN,species,Pristina jenkinae,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Pristininae,NA,Pristina,jenkinae,Also P. idrensis goes in same Accepted Taxon ID,8,cg,NA
PRIAEQ,species,Pristina aequiseta,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Pristininae,NA,Pristina,NA,NA,8,cg,NA
PRIBRE,species,Pristina breviseta,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Pristininae,NA,Pristina,NA,NA,8,cg,NA
PRILEI,species,Pristina leidyi,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Pristininae,NA,Pristina,NA,NA,8,cg,NA
PRILON,species,Pristina longiseta,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Pristininae,NA,Pristina,NA,NA,8,cg,NA
PRIPRO,species,Pristina proboscidea,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Pristininae,NA,Pristina,NA,NA,8,cg,NA
PRISP1,genus,Pristina sp.,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Pristininae,NA,Pristina,NA,NA,8,cg,NA
PRIOSB,species,Pristina osborni,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Pristininae,NA,Pristina,osborni,NA,8,cg,NA
PRIPLU,species,Pristina plumaseta,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Pristininae,NA,Pristina,plumaseta,NA,8,cg,NA
BOTVEJ,species,Bothrioneurum vejdovskyanum,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Rhyacodrilinae,NA,Bothrioneurum,vejdovskyanum,NA,7,cg,NA
BRASOW,species,Branchiura sowerbyi,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Rhyacodrilinae,NA,Branchiura,sowerbyi,NA,6,cg,NA
RHYCOC,species,Rhyacodrilus coccineus,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Rhyacodrilinae,NA,Rhyacodrilus,NA,NA,10,cg,NA
RHYSP5,genus,Rhyacodrilus sp.,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Rhyacodrilinae,NA,Rhyacodrilus,NA,NA,10,cg,NA
ARCWUL,species,Arctodrilus wulikensis,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Arctodrilus,NA,NA,10,cg,NA
AULAME,species,Aulodrilus americanus,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Aulodrilus,americanus,NA,7,cg,NA
AULLIM,species,Aulodrilus limnobius,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Aulodrilus,NA,NA,7,cg,NA
AULPIG,species,Aulodrilus pigueti,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Aulodrilus,NA,NA,7,cg,NA
AULSP,genus,Aulodrilus sp.,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Aulodrilus,NA,NA,7,cg,NA
AULPLU,species,Aulodrilus pluriseta,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Aulodrilus,pluriseta,NA,7,cg,NA
ILYTEM,species,Ilyodrilus templetoni,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Ilyodrilus,NA,NA,10,cg,NA
ISOCUR,species,Isochaetides curvisetosus,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Isochaetides,NA,NA,8,cg,NA
LIMHOF,species,Limnodrilus hoffmeisteri,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,hoffmeisteri,NA,10,cg,NA
LIMCER,species,Limnodrilus cervix,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,NA,NA,10,cg,NA
LIMCLA,species,Limnodrilus claparedeianus,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,NA,NA,10,cg,NA
LIMCLA1,speciesGroup,Limnodrilus claparedianus-cervix cx.,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,NA,NA,10,cg,NA
LIMHOF1,speciesGroup,Limnodrilus hoffmeisteri cx.,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,NA,NA,10,cg,NA
LIMMAU,species,Limnodrilus maumeensis,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,NA,NA,10,cg,NA
LIMSP31,genus,Limnodrilus sp.,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,NA,NA,10,cg,NA
LIMUDE,species,Limnodrilus udekemianus,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,udekemianus,NA,10,cg,NA
SPINIK,species,Spirosperma nikolskyi,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Spirosperma,nikolskyi,NA,6,cg,NA
TASAME,species,Tasserkidrilus americanus,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Tasserkidrilus,NA,NA,10,cg,NA
TENSP5,genus,Teneridrilus sp.,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Teneridrilus,NA,NA,10,cg,NA
TUBTUB,species,Tubifex tubifex,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Tubifex,NA,NA,10,cg,NA
VARANG,species,Varichaetadrilus angustipenis,segmentedWorms,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Varichaetadrilus,NA,NA,10,cg,NA
CORSP29,genus,Corticacarus sp.,Corticacarus,Arthropoda,Chelicerata,Arachnida,Actinedida,Hygrobatidae,NA,NA,Corticacarus,NA,NA,8,prd,NA
TYRSP1,genus,Tyrellia sp.,Tyrellia,Arthropoda,Chelicerata,Arachnida,Actinedida,Limnesiidae,NA,NA,Tyrellia,NA,NA,6,prd,NA
ACASP1,subclass,Acari sp.,Acari,Arthropoda,Chelicerata,Arachnida,NA,NA,NA,NA,NA,NA,NA,6,prd,NA
STYSP11,genus,Stygothrombium sp.,Stygothrombium,Arthropoda,Chelicerata,Arachnida,NA,Stygothrombiidae,NA,NA,Stygothrombium,NA,NA,5,prd,NA
ORISP1,suborder,Oribatida sp.,Oribatida,Arthropoda,Chelicerata,Arachnida,Sarcoptiformes,NA,NA,NA,NA,NA,NA,6,prd,NA
AMOSP1,genus,Amoenacarus sp.,Amoenacarus,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Amoenacaridae,NA,NA,Amoenacarus,NA,NA,5,prd,NA
ANISP2,family,Anisitsiellidae sp.,Anisitsiellidae,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Anisitsiellidae,NA,NA,NA,NA,NA,5,prd,NA
UTASP2,genus,Utaxatax sp.,Utaxatax,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Anisitsiellidae,NA,NA,Utaxatax,NA,NA,5,prd,NA
ARRSP2,genus,Arrenurus sp.,Arrenurus,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Arrenuridae,NA,NA,Arrenurus,NA,NA,5,prd,NA
